TIPO,MONTO,SUSCRIPCIÓN
Consolidada,"500,000,000.00",2003
Consolidada,"1,750,000,000.00",2005
Consolidada,"1,920,000,000.00",2007
Consolidada,"100,000,000.00",2010
Consolidada,"1,000,000,000.00",2012
Consolidada,"300,000,000.00",2012
Consolidada,"299,888,355.00",2013
Consolidada,"223,786,059.00",2014
Consolidada,"500,379,494.00",2014
Consolidada,"86,788,886.00",2015
Consolidada,"1,000,000,000.00",2016
Consolidada,"56,998,668.00",2016
Consolidada,"5,115,348,231.00",2019
Consolidada,"3,000,000,000.00",2019
Consolidada,"2,000,000,000.00",2019
Consolidada,"1,000,000,000.00",2019
Consolidada,"2,500,000,000.00",2019
Consolidada,"569,432,472.53",2019
Inversión,"2,250,000,000.00",2019
Inversión,"700,000,000.00",2019
